spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,proj,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18,nmi,ari,auroc
gauss|ternary,linear,gaussian,bipolar,none,raw,,,ternary,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.7266666889190674,0.7253333330154419,0.0467531643807888,0.9826924739446199,0.047,1504.0,2.0,393216,0,0,,,gauss,,,,,,,
gauss|bipolar,linear,gaussian,bipolar,none,raw,,,bipolar,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.7266666889190674,0.7253333330154419,0.0467531643807888,0.9826924739446199,0.017,1504.0,1.0,393216,0,0,,,gauss,,,,,,,
signrff|fp32,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,fp32,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.7175000309944153,0.7139999866485596,0.008040783926844597,0.6815425284052163,0.033,1520.0,32.0,389120,0,0,,,signrff,,,,,,,
signrff|int4,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,int4,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.7166666984558105,0.7160000205039978,0.00819659885019064,0.6814944004012148,0.047,1520.0,4.0,393216,0,0,,,signrff,,,,,,,
signrff|ternary,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,ternary,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.7258333563804626,0.7306666374206543,0.0086170993745327,0.676559055734077,0.067,1520.0,2.0,393216,0,0,,,signrff,,,,,,,
signrff|bipolar,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,bipolar,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.7291666865348816,0.7306666374206543,0.008495383895933628,0.6622015135025975,0.033,1520.0,1.0,393216,0,0,,,signrff,,,,,,,
fpe_b1|fp32,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,fp32,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.5133333206176758,0.49133333563804626,0.000575441459659487,0.0005950615246801343,0.031,1504.5,1.0,389120,0,0,,,fpe_b1,,,,,,,
fpe_b1|int4,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,int4,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.5133333206176758,0.49133333563804626,0.000575441459659487,0.0005950615246801343,0.046,1504.5,4.0,393216,0,0,,,fpe_b1,,,,,,,
fpe_b1|ternary,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,ternary,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.5133333206176758,0.49133333563804626,0.000575441459659487,0.0005950615246801343,0.063,1504.5,2.0,393216,0,0,,,fpe_b1,,,,,,,
fpe_b1|bipolar,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,bipolar,fine,1,4096,64,30,30,cosine,uniform,1,32,0,0.5133333206176758,0.49133333563804626,0.000575441459659487,0.0005950615246801343,0.033,1504.5,1.0,393216,0,0,,,fpe_b1,,,,,,,
